prov_id,provpass_id,del,delprov,number,subsection_title,passage,question,A,B,C,D,E,system_prompt,prompt,facit,Evaluation,Input,Output,Token Usage,Finish Reason,Model Name,Model Params,Pass_Status
2024-10-20,3,VERB,ORD,1,,,hysa agg,vara spydig,kritisera,vara fientligt inställd,irritera,göra någon illa,"
Du är en expert på att skriva högskoleprovet. 

- Om det rätta svaret är svarsalternativ A, skriv bara ut A
- Om det rätta svaret är svarsalternativ B, skriv bara ut B
- Om det rätta svaret är svarsalternativ C, skriv bara ut C
- Om det rätta svaret är svarsalternativ D, skriv bara ut D
- Om det rätta svaret är svarsalternativ E, skriv bara ut E
- Skriv bara ut A, B, C, D eller E - inget annat
","
ORD – Ordförståelse
I delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.

Ord: hysa agg

A: vara spydig
B: kritisera
C: vara fientligt inställd
D: irritera
E: göra någon illa

Svar:
",C,"{'Passed': 'Passed', 'String check: Status': 'Exact match'}","[{'role': 'system', 'content': '\nDu är en expert på att skriva högskoleprovet. \n\n- Om det rätta svaret är svarsalternativ A, skriv bara ut A\n- Om det rätta svaret är svarsalternativ B, skriv bara ut B\n- Om det rätta svaret är svarsalternativ C, skriv bara ut C\n- Om det rätta svaret är svarsalternativ D, skriv bara ut D\n- Om det rätta svaret är svarsalternativ E, skriv bara ut E\n- Skriv bara ut A, B, C, D eller E - inget annat\n'}, {'role': 'user', 'content': '\nORD – Ordförståelse\nI delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.\n\nOrd: hysa agg\n\nA: vara spydig\nB: kritisera\nC: vara fientligt inställd\nD: irritera\nE: göra någon illa\n\nSvar:\n'}]","[{'role': 'assistant', 'content': 'C'}]","{'completion_tokens': 385, 'prompt_tokens': 257, 'total_tokens': 642, 'completion_tokens_details': None, 'prompt_tokens_details': None}",stop,deepseek/deepseek-r1,"{'seed': 42, 'temperature': 1, 'max_tokens': 2048, 'top_p': 1}",Passed
2024-10-20,3,VERB,ORD,2,,,kontinuum,upplösning,evigt liv,motsatsförhållande,obruten följd,förlängning,"
Du är en expert på att skriva högskoleprovet. 

- Om det rätta svaret är svarsalternativ A, skriv bara ut A
- Om det rätta svaret är svarsalternativ B, skriv bara ut B
- Om det rätta svaret är svarsalternativ C, skriv bara ut C
- Om det rätta svaret är svarsalternativ D, skriv bara ut D
- Om det rätta svaret är svarsalternativ E, skriv bara ut E
- Skriv bara ut A, B, C, D eller E - inget annat
","
ORD – Ordförståelse
I delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.

Ord: kontinuum

A: upplösning
B: evigt liv
C: motsatsförhållande
D: obruten följd
E: förlängning

Svar:
",D,"{'Passed': 'Passed', 'String check: Status': 'Exact match'}","[{'role': 'system', 'content': '\nDu är en expert på att skriva högskoleprovet. \n\n- Om det rätta svaret är svarsalternativ A, skriv bara ut A\n- Om det rätta svaret är svarsalternativ B, skriv bara ut B\n- Om det rätta svaret är svarsalternativ C, skriv bara ut C\n- Om det rätta svaret är svarsalternativ D, skriv bara ut D\n- Om det rätta svaret är svarsalternativ E, skriv bara ut E\n- Skriv bara ut A, B, C, D eller E - inget annat\n'}, {'role': 'user', 'content': '\nORD – Ordförståelse\nI delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.\n\nOrd: kontinuum\n\nA: upplösning\nB: evigt liv\nC: motsatsförhållande\nD: obruten följd\nE: förlängning\n\nSvar:\n'}]","[{'role': 'assistant', 'content': 'D'}]","{'completion_tokens': 262, 'prompt_tokens': 257, 'total_tokens': 519, 'completion_tokens_details': None, 'prompt_tokens_details': None}",stop,deepseek/deepseek-r1,"{'seed': 42, 'temperature': 1, 'max_tokens': 2048, 'top_p': 1}",Passed
2024-10-20,3,VERB,ORD,3,,,vimmelkantig,yr,trött,osäker,klumpig,hjälplös,"
Du är en expert på att skriva högskoleprovet. 

- Om det rätta svaret är svarsalternativ A, skriv bara ut A
- Om det rätta svaret är svarsalternativ B, skriv bara ut B
- Om det rätta svaret är svarsalternativ C, skriv bara ut C
- Om det rätta svaret är svarsalternativ D, skriv bara ut D
- Om det rätta svaret är svarsalternativ E, skriv bara ut E
- Skriv bara ut A, B, C, D eller E - inget annat
","
ORD – Ordförståelse
I delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.

Ord: vimmelkantig

A: yr
B: trött
C: osäker
D: klumpig
E: hjälplös

Svar:
",A,"{'Passed': 'Passed', 'String check: Status': 'Exact match'}","[{'role': 'system', 'content': '\nDu är en expert på att skriva högskoleprovet. \n\n- Om det rätta svaret är svarsalternativ A, skriv bara ut A\n- Om det rätta svaret är svarsalternativ B, skriv bara ut B\n- Om det rätta svaret är svarsalternativ C, skriv bara ut C\n- Om det rätta svaret är svarsalternativ D, skriv bara ut D\n- Om det rätta svaret är svarsalternativ E, skriv bara ut E\n- Skriv bara ut A, B, C, D eller E - inget annat\n'}, {'role': 'user', 'content': '\nORD – Ordförståelse\nI delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.\n\nOrd: vimmelkantig\n\nA: yr\nB: trött\nC: osäker\nD: klumpig\nE: hjälplös\n\nSvar:\n'}]","[{'role': 'assistant', 'content': 'A'}]","{'completion_tokens': 312, 'prompt_tokens': 249, 'total_tokens': 561, 'completion_tokens_details': None, 'prompt_tokens_details': None}",stop,deepseek/deepseek-r1,"{'seed': 42, 'temperature': 1, 'max_tokens': 2048, 'top_p': 1}",Passed
2024-10-20,3,VERB,ORD,4,,,krill,korall,sjögräs,parasit,kräftdjur,grodyngel,"
Du är en expert på att skriva högskoleprovet. 

- Om det rätta svaret är svarsalternativ A, skriv bara ut A
- Om det rätta svaret är svarsalternativ B, skriv bara ut B
- Om det rätta svaret är svarsalternativ C, skriv bara ut C
- Om det rätta svaret är svarsalternativ D, skriv bara ut D
- Om det rätta svaret är svarsalternativ E, skriv bara ut E
- Skriv bara ut A, B, C, D eller E - inget annat
","
ORD – Ordförståelse
I delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.

Ord: krill

A: korall
B: sjögräs
C: parasit
D: kräftdjur
E: grodyngel

Svar:
",D,"{'Passed': 'Passed', 'String check: Status': 'Exact match'}","[{'role': 'system', 'content': '\nDu är en expert på att skriva högskoleprovet. \n\n- Om det rätta svaret är svarsalternativ A, skriv bara ut A\n- Om det rätta svaret är svarsalternativ B, skriv bara ut B\n- Om det rätta svaret är svarsalternativ C, skriv bara ut C\n- Om det rätta svaret är svarsalternativ D, skriv bara ut D\n- Om det rätta svaret är svarsalternativ E, skriv bara ut E\n- Skriv bara ut A, B, C, D eller E - inget annat\n'}, {'role': 'user', 'content': '\nORD – Ordförståelse\nI delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.\n\nOrd: krill\n\nA: korall\nB: sjögräs\nC: parasit\nD: kräftdjur\nE: grodyngel\n\nSvar:\n'}]","[{'role': 'assistant', 'content': 'D'}]","{'completion_tokens': 309, 'prompt_tokens': 248, 'total_tokens': 557, 'completion_tokens_details': None, 'prompt_tokens_details': None}",stop,deepseek/deepseek-r1,"{'seed': 42, 'temperature': 1, 'max_tokens': 2048, 'top_p': 1}",Passed
2024-10-20,3,VERB,ORD,5,,,restriktiv,bestämd,ordentlig,påfrestande,motvillig,återhållsam,"
Du är en expert på att skriva högskoleprovet. 

- Om det rätta svaret är svarsalternativ A, skriv bara ut A
- Om det rätta svaret är svarsalternativ B, skriv bara ut B
- Om det rätta svaret är svarsalternativ C, skriv bara ut C
- Om det rätta svaret är svarsalternativ D, skriv bara ut D
- Om det rätta svaret är svarsalternativ E, skriv bara ut E
- Skriv bara ut A, B, C, D eller E - inget annat
","
ORD – Ordförståelse
I delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.

Ord: restriktiv

A: bestämd
B: ordentlig
C: påfrestande
D: motvillig
E: återhållsam

Svar:
",E,"{'Passed': 'Passed', 'String check: Status': 'Exact match'}","[{'role': 'system', 'content': '\nDu är en expert på att skriva högskoleprovet. \n\n- Om det rätta svaret är svarsalternativ A, skriv bara ut A\n- Om det rätta svaret är svarsalternativ B, skriv bara ut B\n- Om det rätta svaret är svarsalternativ C, skriv bara ut C\n- Om det rätta svaret är svarsalternativ D, skriv bara ut D\n- Om det rätta svaret är svarsalternativ E, skriv bara ut E\n- Skriv bara ut A, B, C, D eller E - inget annat\n'}, {'role': 'user', 'content': '\nORD – Ordförståelse\nI delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.\n\nOrd: restriktiv\n\nA: bestämd\nB: ordentlig\nC: påfrestande\nD: motvillig\nE: återhållsam\n\nSvar:\n'}]","[{'role': 'assistant', 'content': 'E'}]","{'completion_tokens': 363, 'prompt_tokens': 252, 'total_tokens': 615, 'completion_tokens_details': None, 'prompt_tokens_details': None}",stop,deepseek/deepseek-r1,"{'seed': 42, 'temperature': 1, 'max_tokens': 2048, 'top_p': 1}",Passed
2024-10-20,3,VERB,ORD,6,,,särdrag,avvikande åsikt,skiljelinje,klokt agerande,diskriminering,utmärkande egenskap,"
Du är en expert på att skriva högskoleprovet. 

- Om det rätta svaret är svarsalternativ A, skriv bara ut A
- Om det rätta svaret är svarsalternativ B, skriv bara ut B
- Om det rätta svaret är svarsalternativ C, skriv bara ut C
- Om det rätta svaret är svarsalternativ D, skriv bara ut D
- Om det rätta svaret är svarsalternativ E, skriv bara ut E
- Skriv bara ut A, B, C, D eller E - inget annat
","
ORD – Ordförståelse
I delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.

Ord: särdrag

A: avvikande åsikt
B: skiljelinje
C: klokt agerande
D: diskriminering
E: utmärkande egenskap

Svar:
",E,"{'Passed': 'Passed', 'String check: Status': 'Exact match'}","[{'role': 'system', 'content': '\nDu är en expert på att skriva högskoleprovet. \n\n- Om det rätta svaret är svarsalternativ A, skriv bara ut A\n- Om det rätta svaret är svarsalternativ B, skriv bara ut B\n- Om det rätta svaret är svarsalternativ C, skriv bara ut C\n- Om det rätta svaret är svarsalternativ D, skriv bara ut D\n- Om det rätta svaret är svarsalternativ E, skriv bara ut E\n- Skriv bara ut A, B, C, D eller E - inget annat\n'}, {'role': 'user', 'content': '\nORD – Ordförståelse\nI delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.\n\nOrd: särdrag\n\nA: avvikande åsikt\nB: skiljelinje\nC: klokt agerande\nD: diskriminering\nE: utmärkande egenskap\n\nSvar:\n'}]","[{'role': 'assistant', 'content': 'E'}]","{'completion_tokens': 299, 'prompt_tokens': 261, 'total_tokens': 560, 'completion_tokens_details': None, 'prompt_tokens_details': None}",stop,deepseek/deepseek-r1,"{'seed': 42, 'temperature': 1, 'max_tokens': 2048, 'top_p': 1}",Passed
2024-10-20,3,VERB,ORD,7,,,osökt,rättvist,naturligt,intressant,hoppfullt,viktigt,"
Du är en expert på att skriva högskoleprovet. 

- Om det rätta svaret är svarsalternativ A, skriv bara ut A
- Om det rätta svaret är svarsalternativ B, skriv bara ut B
- Om det rätta svaret är svarsalternativ C, skriv bara ut C
- Om det rätta svaret är svarsalternativ D, skriv bara ut D
- Om det rätta svaret är svarsalternativ E, skriv bara ut E
- Skriv bara ut A, B, C, D eller E - inget annat
","
ORD – Ordförståelse
I delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.

Ord: osökt

A: rättvist
B: naturligt
C: intressant
D: hoppfullt
E: viktigt

Svar:
",B,"{'Passed': 'Passed', 'String check: Status': 'Exact match'}","[{'role': 'system', 'content': '\nDu är en expert på att skriva högskoleprovet. \n\n- Om det rätta svaret är svarsalternativ A, skriv bara ut A\n- Om det rätta svaret är svarsalternativ B, skriv bara ut B\n- Om det rätta svaret är svarsalternativ C, skriv bara ut C\n- Om det rätta svaret är svarsalternativ D, skriv bara ut D\n- Om det rätta svaret är svarsalternativ E, skriv bara ut E\n- Skriv bara ut A, B, C, D eller E - inget annat\n'}, {'role': 'user', 'content': '\nORD – Ordförståelse\nI delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.\n\nOrd: osökt\n\nA: rättvist\nB: naturligt\nC: intressant\nD: hoppfullt\nE: viktigt\n\nSvar:\n'}]","[{'role': 'assistant', 'content': 'B'}]","{'completion_tokens': 426, 'prompt_tokens': 250, 'total_tokens': 676, 'completion_tokens_details': None, 'prompt_tokens_details': None}",stop,deepseek/deepseek-r1,"{'seed': 42, 'temperature': 1, 'max_tokens': 2048, 'top_p': 1}",Passed
2024-10-20,3,VERB,ORD,8,,,empati,hjälpsamhet,uppskattning,tillgivenhet,inlevelseförmåga,ömsesidighet,"
Du är en expert på att skriva högskoleprovet. 

- Om det rätta svaret är svarsalternativ A, skriv bara ut A
- Om det rätta svaret är svarsalternativ B, skriv bara ut B
- Om det rätta svaret är svarsalternativ C, skriv bara ut C
- Om det rätta svaret är svarsalternativ D, skriv bara ut D
- Om det rätta svaret är svarsalternativ E, skriv bara ut E
- Skriv bara ut A, B, C, D eller E - inget annat
","
ORD – Ordförståelse
I delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.

Ord: empati

A: hjälpsamhet
B: uppskattning
C: tillgivenhet
D: inlevelseförmåga
E: ömsesidighet

Svar:
",D,"{'Passed': 'Passed', 'String check: Status': 'Exact match'}","[{'role': 'system', 'content': '\nDu är en expert på att skriva högskoleprovet. \n\n- Om det rätta svaret är svarsalternativ A, skriv bara ut A\n- Om det rätta svaret är svarsalternativ B, skriv bara ut B\n- Om det rätta svaret är svarsalternativ C, skriv bara ut C\n- Om det rätta svaret är svarsalternativ D, skriv bara ut D\n- Om det rätta svaret är svarsalternativ E, skriv bara ut E\n- Skriv bara ut A, B, C, D eller E - inget annat\n'}, {'role': 'user', 'content': '\nORD – Ordförståelse\nI delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.\n\nOrd: empati\n\nA: hjälpsamhet\nB: uppskattning\nC: tillgivenhet\nD: inlevelseförmåga\nE: ömsesidighet\n\nSvar:\n'}]","[{'role': 'assistant', 'content': 'D'}]","{'completion_tokens': 347, 'prompt_tokens': 257, 'total_tokens': 604, 'completion_tokens_details': None, 'prompt_tokens_details': None}",stop,deepseek/deepseek-r1,"{'seed': 42, 'temperature': 1, 'max_tokens': 2048, 'top_p': 1}",Passed
2024-10-20,3,VERB,ORD,9,,,bordlägga,tilltala,intyga,motstå,förevisa,uppskjuta,"
Du är en expert på att skriva högskoleprovet. 

- Om det rätta svaret är svarsalternativ A, skriv bara ut A
- Om det rätta svaret är svarsalternativ B, skriv bara ut B
- Om det rätta svaret är svarsalternativ C, skriv bara ut C
- Om det rätta svaret är svarsalternativ D, skriv bara ut D
- Om det rätta svaret är svarsalternativ E, skriv bara ut E
- Skriv bara ut A, B, C, D eller E - inget annat
","
ORD – Ordförståelse
I delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.

Ord: bordlägga

A: tilltala
B: intyga
C: motstå
D: förevisa
E: uppskjuta

Svar:
",E,"{'Passed': 'Passed', 'String check: Status': 'Exact match'}","[{'role': 'system', 'content': '\nDu är en expert på att skriva högskoleprovet. \n\n- Om det rätta svaret är svarsalternativ A, skriv bara ut A\n- Om det rätta svaret är svarsalternativ B, skriv bara ut B\n- Om det rätta svaret är svarsalternativ C, skriv bara ut C\n- Om det rätta svaret är svarsalternativ D, skriv bara ut D\n- Om det rätta svaret är svarsalternativ E, skriv bara ut E\n- Skriv bara ut A, B, C, D eller E - inget annat\n'}, {'role': 'user', 'content': '\nORD – Ordförståelse\nI delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.\n\nOrd: bordlägga\n\nA: tilltala\nB: intyga\nC: motstå\nD: förevisa\nE: uppskjuta\n\nSvar:\n'}]","[{'role': 'assistant', 'content': 'E'}]","{'completion_tokens': 351, 'prompt_tokens': 252, 'total_tokens': 603, 'completion_tokens_details': None, 'prompt_tokens_details': None}",stop,deepseek/deepseek-r1,"{'seed': 42, 'temperature': 1, 'max_tokens': 2048, 'top_p': 1}",Passed
2024-10-20,3,VERB,ORD,10,,,taktfull,snabb,högljudd,finkänslig,noggrann,uthållig,"
Du är en expert på att skriva högskoleprovet. 

- Om det rätta svaret är svarsalternativ A, skriv bara ut A
- Om det rätta svaret är svarsalternativ B, skriv bara ut B
- Om det rätta svaret är svarsalternativ C, skriv bara ut C
- Om det rätta svaret är svarsalternativ D, skriv bara ut D
- Om det rätta svaret är svarsalternativ E, skriv bara ut E
- Skriv bara ut A, B, C, D eller E - inget annat
","
ORD – Ordförståelse
I delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.

Ord: taktfull

A: snabb
B: högljudd
C: finkänslig
D: noggrann
E: uthållig

Svar:
",C,"{'Passed': 'Passed', 'String check: Status': 'Exact match'}","[{'role': 'system', 'content': '\nDu är en expert på att skriva högskoleprovet. \n\n- Om det rätta svaret är svarsalternativ A, skriv bara ut A\n- Om det rätta svaret är svarsalternativ B, skriv bara ut B\n- Om det rätta svaret är svarsalternativ C, skriv bara ut C\n- Om det rätta svaret är svarsalternativ D, skriv bara ut D\n- Om det rätta svaret är svarsalternativ E, skriv bara ut E\n- Skriv bara ut A, B, C, D eller E - inget annat\n'}, {'role': 'user', 'content': '\nORD – Ordförståelse\nI delprovet ORD inleds varje uppgift med ett ord. Under detta finns fem svarsförslag. Välj det svarsförslag som bäst motsvarar innebörden av ordet.\n\nOrd: taktfull\n\nA: snabb\nB: högljudd\nC: finkänslig\nD: noggrann\nE: uthållig\n\nSvar:\n'}]","[{'role': 'assistant', 'content': 'C'}]","{'completion_tokens': 300, 'prompt_tokens': 252, 'total_tokens': 552, 'completion_tokens_details': None, 'prompt_tokens_details': None}",stop,deepseek/deepseek-r1,"{'seed': 42, 'temperature': 1, 'max_tokens': 2048, 'top_p': 1}",Passed
